rank,Smiles,class_mean_prob_0.5_EState,class_mean_prob_0.5_Klekota-Roth,class_mean_prob_0.5_PubChem,prob_mean_EState,prob_mean_Klekota-Roth,prob_mean_PubChem,prob_mean_across_fingerprints,n_fingerprints_active,consensus_label,Metabolite,Metabolite_all,PubChem_ID,PubChem_ID_all,Organism,Organism_all,IUPAC_Name,Smiles_isomeric,Molecular_formula,Mw,n_source_rows,n_distinct_cid,identity_ambiguous
47,CCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,1,1,1,0.99372405,0.96418244,0.9723504,0.9767523,3,Active (3/3),"[6]-Gingerdiol 3,5-diacetate","[6]-Gingerdiol 3,5-diacetate",5317587,5317587,Zingiber officinale,Zingiber officinale,[3-acetyloxy-1-(4-hydroxy-3-methoxyphenyl)decan-5-yl] acetate,CCCCCC(CC(CCC1=CC(=C(C=C1)O)OC)OC(=O)C)OC(=O)C,C21H32O6,380.21988875,1,1,False
48,CC1(CO)CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(CO)C5CCC43C)C2C1,1,1,1,0.9691149,0.97260696,0.9878443,0.976522,3,Active (3/3),Quadranoside III,Quadranoside III,10327092,10327092,Melissa officinalis,Melissa officinalis,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (2R,4aR,6aR,6aS,6bR,8aR,9R,10R,11R,12aR,14bS)-10,11-dihydroxy-2,9-bis(hydroxymethyl)-2,6a,6b,9,12a-pentamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate",C[C@]1(CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2C1)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)CO,C36H58O11,666.3979127,1,1,False
49,CCCCCCCC(CC(CCc1ccc(O)c(OC)c1)OC(C)=O)OC(C)=O,1,1,1,0.99372405,0.9606722,0.9723504,0.9755822,3,Active (3/3),[8]-Gingerdiol,[8]-Gingerdiol,156373480,156373480,Zingiber officinale,Zingiber officinale,[3-acetyloxy-1-(4-hydroxy-3-methoxyphenyl)dodecan-5-yl] acetate,CCCCCCCC(CC(CCC1=CC(=C(C=C1)O)OC)OC(=O)C)OC(=O)C,C23H36O6,408.25118888,1,1,False
50,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C)C(C)CCC4(C(=O)O)CCC23C)C1(C)C,1,1,1,0.9691149,0.9945373,0.9629541,0.9755354,3,Active (3/3),Acetylursolic acid,Acetylursolic acid,6475119,6475119,Forsythia suspensa,Forsythia suspensa,"(1S,2R,4aS,6aR,6aS,6bR,8aR,10S,12aR,14bS)-10-acetyloxy-1,2,6a,6b,9,9,12a-heptamethyl-2,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydro-1H-picene-4a-carboxylic acid",C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)OC(=O)C)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C32H50O4,498.37091008,1,1,False
51,CC(=CCO)CCC=C(C)C(=O)O,1,1,1,0.99138385,0.96327376,0.97133046,0.97532934,3,Active (3/3),Foliamenthic acid,Foliamenthic acid,12681385,12681385,Zingiber officinale,Zingiber officinale,"(2E,6E)-8-hydroxy-2,6-dimethylocta-2,6-dienoic acid",C/C(=C\CO)/CC/C=C(\C)/C(=O)O,C10H16O3,184.10994438,1,1,False
52,C=C1CCC2C(C)(COC3OC(CO)C(O)C(O)C3O)C(O)CCC2(C)C1CCC1=CCOC1=O,1,1,1,0.95879436,0.979088,0.98549944,0.9744606,3,Active (3/3),Ninandrographolide,Ninandrographolide,44575270,44575270,Andrographis paniculata,Andrographis paniculata,"4-[2-[(1R,4aS,5R,6R,8aS)-6-hydroxy-5,8a-dimethyl-2-methylidene-5-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethyl]-2H-furan-5-one",C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2CCC3=CCOC3=O)(C)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,C26H40O9,496.26723288,1,1,False
53,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1OC(C)=O,1,1,1,0.95879436,0.98712087,0.9736126,0.97317594,3,Active (3/3),14-Acetylandrographolide,14-Acetylandrographolide,71589914,71589914,Andrographis paniculata,Andrographis paniculata,"[(4Z)-4-[2-[6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]-5-oxooxolan-3-yl] acetate",CC(=O)OC\1COC(=O)/C1=C\CC2C(=C)CCC3C2(CCC(C3(C)CO)O)C,C22H32O6,392.21988875,1,1,False
54,COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)cc(-c3ccc(O)c(OC)c3OC)oc2c1OC,1,1,1,0.9476487,0.9848521,0.9866183,0.9730397,3,Active (3/3),"5,4'-Dihidroxy-7,8,2',3'-tetramethoxy flavone 5-glucoside","5,4'-Dihidroxy-7,8,2',3'-tetramethoxy flavone 5-glucoside",13963764,13963764,Andrographis paniculata,Andrographis paniculata,"2-(4-hydroxy-2,3-dimethoxyphenyl)-7,8-dimethoxy-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-4-one",COC1=C(C2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C=C(O2)C4=C(C(=C(C=C4)O)OC)OC)OC,C25H28O13,536.15299098,1,1,False
55,O=C(O)C(O)Cc1ccc(O)c(O)c1,1,1,1,0.96601367,0.9894311,0.9621098,0.9725182,3,Active (3/3),Salvianic acid A,"Salvianic acid A | 3-(3,4-Dihydroxyphenyl)-2-hydroxypropanoic acid",439435,439435 | 11600642,Melissa officinalis,Melissa officinalis,"(2R)-3-(3,4-dihydroxyphenyl)-2-hydroxypropanoic acid",C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O,C9H10O5,198.05282343,2,2,True
56,C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C=CC1=CC(C(CC2C(=C)CCC3C(C)(CO)C(O)CCC23C)C2=CCOC2=O)OC1=O,1,1,1,0.95879436,0.97082454,0.98651975,0.9720462,3,Active (3/3),Bisandrographolide C,Bisandrographolide C,12000062,12000062,Andrographis paniculata,Andrographis paniculata,"4-[(E)-2-[(1R,4aS,5R,6R,8aR)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethenyl]-2-[2-[(1R,4aS,5R,6R,8aR)-6-hydroxy-5-(hydroxymethyl)-5,8a-dimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-1-(5-oxo-2H-furan-4-yl)ethyl]-2H-furan-5-one",C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2CC(C3C=C(C(=O)O3)/C=C/[C@@H]4C(=C)CC[C@H]5[C@]4(CC[C@H]([C@@]5(C)CO)O)C)C6=CCOC6=O)(C)CO)O,C40H56O8,664.39751876,1,1,False
