PubChem_ID,Metabolite,nama_pubchem,formula_kita,formula_pubchem,formula_cocok,struktur_cocok,identity_ambiguous,status
10349562,Gingerglycolipid A,Gingerglycolipid A,C33H56O14,C33H56O14,True,True,False,cocok
10253785,Luteolin 3'-O-beta-D-glucuronide,luteolin 3'-O-glucuronide,C21H18O12,C21H18O12,True,True,False,cocok
5316820,Nepetoidin A,Nepetoidin A,C17H14O6,C17H14O6,True,True,False,cocok
637542,p-Coumaric acid,P-Coumaric Acid,C9H8O3,C9H8O3,True,True,False,cocok
1794427,3-Caffeoylquinic acid,Chlorogenic Acid,C16H18O9,C16H18O9,True,True,False,cocok
5318274,[4]-Gingerdiacetate,"3,5-Octanediol, 1-(4-hydroxy-3-methoxyphenyl)-, 3,5-diacetate",C19H28O6,C19H28O6,True,True,False,cocok
10651175,Yunnaneic acid F,Yunnaneic acid F,C29H26O14,C29H26O14,True,True,False,cocok
445858,Ferulic acid,Ferulic Acid,C10H10O4,C10H10O4,True,True,False,cocok
445638,Palmitoleic acid,Palmitoleic Acid,C16H30O2,C16H30O2,True,True,False,cocok
689043,Caffeic acid,Caffeic Acid,C9H8O4,C9H8O4,True,True,False,cocok
5280459,Quercetin 3-O-alpha-L-rhamnoside,Quercitrin,C21H20O11,C21H20O11,True,True,False,cocok
8180,Undecanoic acid,Undecanoic Acid,C11H22O2,C11H22O2,True,True,False,cocok
3893,Dodecanoic acid,Lauric Acid,C12H24O2,C12H24O2,True,True,False,cocok
11005,Myristic acid,Myristic Acid,C14H28O2,C14H28O2,True,True,False,cocok
13849,Pentadecanoic acid,Pentadecanoic Acid,C15H30O2,C15H30O2,True,True,False,cocok
54670067,(+)-Ascorbic acid,L-Ascorbic Acid,C6H8O6,C6H8O6,True,True,False,cocok
10465,Heptadecanoic acid,Heptadecanoic Acid,C17H34O2,C17H34O2,True,True,False,cocok
11197,Lignoceric acid,Tetracosanoic Acid,C24H48O2,C24H48O2,True,True,False,cocok
10471,Triacontanoic acid,Triacontanoic acid,C30H60O2,C30H60O2,True,True,False,cocok
13963770,"5-Hydroxy-7,8-dimethoxyflavanone","5-Hydroxy-7,8-Dimethoxyflavanone",C17H16O5,C17H16O5,True,True,False,cocok
44258925,Kaempferol 4'-rhamnoside,"3,5,7-trihydroxy-2-[4-[(2S,3S,5R)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphenyl]chromen-4-one",C21H20O10,C21H20O10,True,True,False,cocok
5317587,"[6]-Gingerdiol 3,5-diacetate","[6]-Gingerdiol 3,5-diacetate",C21H32O6,C21H32O6,True,True,False,cocok
10327092,Quadranoside III,quadranoside III,C36H58O11,C36H58O11,True,True,False,cocok
156373480,[8]-Gingerdiol,(8)-Gingerdiol,C23H36O6,C23H36O6,True,True,False,cocok
6475119,Acetylursolic acid,O-Acetylursolic Acid,C32H50O4,C32H50O4,True,True,False,cocok
12681385,Foliamenthic acid,Foliamenthoic acid,C10H16O3,C10H16O3,True,True,False,cocok
44575270,Ninandrographolide,14-Deoxyandrographoside,C26H40O9,C26H40O9,True,True,False,cocok
