group,target,pdb_id,ligand,control_passed,affinity_mean,affinity_sd,affinity_best,heavy_atoms,ligand_efficiency,ligan,reseptor,native_ligand,redock_score,rmsd_top_pose_A,rmsd_best_pose_A,control_passed_scoring,control_passed_sampling,status_kontrol,vs_control_kcal,meets_threshold,good_efficiency
virus,Hemagglutinin H9,1JSI,035_Caffeic_acid,True,-4.9,0.01,-4.91,13,0.377,Caffeic acid,HA (LSTc),,,,,,,tanpa kontrol,,False,True
virus,Hemagglutinin H9,1JSI,041_+-Ascorbic_acid,True,-4.1,0.11,-4.23,12,0.342,+-Ascorbic acid,HA (LSTc),,,,,,,tanpa kontrol,,False,False
virus,Neuraminidase N2,4K1K,085_Forsythoside_D,True,-8.2,0.03,-8.22,33,0.248,Forsythoside D,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,-1.76,True,False
virus,Neuraminidase N2,4K1K,003_Adoxosidic_acid,True,-7.81,0.02,-7.83,26,0.3,Adoxosidic acid,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,-1.37,True,False
virus,Neuraminidase N2,4K1K,001_Glucogallin,True,-7.53,0.13,-7.67,23,0.327,Glucogallin,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,-1.09,True,False
virus,Neuraminidase N2,4K1K,055_Salvianic_acid_A,True,-6.23,0.01,-6.24,14,0.445,Salvianic acid A,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,0.21,False,True
virus,Neuraminidase N2,4K1K,035_Caffeic_acid,True,-5.73,0.01,-5.74,13,0.441,Caffeic acid,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,0.71,False,True
virus,Neuraminidase N2,4K1K,041_+-Ascorbic_acid,True,-5.45,0.0,-5.45,12,0.454,+-Ascorbic acid,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,0.99,False,True
virus,Neuraminidase N2,4K1K,029_p-Coumaric_acid,True,-5.28,0.04,-5.31,12,0.44,p-Coumaric acid,NA-N2,G39,-6.44,4.51,0.39,False,True,pencarian saja,1.16,False,True
virus,Nucleoprotein,4DYN,085_Forsythoside_D,True,-9.14,0.01,-9.16,33,0.277,Forsythoside D,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,1.34,True,False
virus,Nucleoprotein,4DYN,003_Adoxosidic_acid,True,-7.96,0.01,-7.96,26,0.306,Adoxosidic acid,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,2.52,True,False
virus,Nucleoprotein,4DYN,001_Glucogallin,True,-7.41,0.0,-7.41,23,0.322,Glucogallin,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,3.07,True,False
virus,Nucleoprotein,4DYN,029_p-Coumaric_acid,True,-6.92,0.01,-6.93,12,0.577,p-Coumaric acid,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,3.56,True,True
virus,Nucleoprotein,4DYN,035_Caffeic_acid,True,-6.58,0.0,-6.58,13,0.506,Caffeic acid,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,3.9,True,True
virus,Nucleoprotein,4DYN,055_Salvianic_acid_A,True,-6.43,0.01,-6.44,14,0.459,Salvianic acid A,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,4.05,False,True
virus,Nucleoprotein,4DYN,041_+-Ascorbic_acid,True,-5.42,0.0,-5.42,12,0.452,+-Ascorbic acid,NP,0MR,-10.483,7.33,5.84,False,False,tidak tervalidasi,5.06,False,True
virus,PA endonuclease,8T5W,085_Forsythoside_D,True,-9.09,0.01,-9.1,33,0.275,Forsythoside D,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,1.76,True,False
virus,PA endonuclease,8T5W,003_Adoxosidic_acid,True,-7.38,0.0,-7.38,26,0.284,Adoxosidic acid,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,3.47,True,False
virus,PA endonuclease,8T5W,001_Glucogallin,True,-7.35,0.02,-7.37,23,0.32,Glucogallin,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,3.5,True,False
virus,PA endonuclease,8T5W,035_Caffeic_acid,True,-6.04,0.03,-6.06,13,0.465,Caffeic acid,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,4.81,False,True
virus,PA endonuclease,8T5W,055_Salvianic_acid_A,True,-5.64,0.01,-5.65,14,0.403,Salvianic acid A,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,5.21,False,True
virus,PA endonuclease,8T5W,029_p-Coumaric_acid,True,-5.49,0.03,-5.52,12,0.458,p-Coumaric acid,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,5.36,False,True
virus,PA endonuclease,8T5W,041_+-Ascorbic_acid,True,-5.29,0.0,-5.29,12,0.441,+-Ascorbic acid,PA-endo,E4Z,-10.85,4.04,0.3,False,True,pencarian saja,5.56,False,True
